# Dataset: ../dataset/CRC__ThomasAM_2019_c/ThomasAM_2019_c__species.pkl
# Dimensionality: 10000
# Number of levels: 1000
# Max retraining iterations: 10
# Accuracy threshold (stop condition): 50.0
# Accuracy uncertainty (percentage): 5.0
# Run ID	Group Size	Retraining	Accuracy
ed95923f96392d334b449fe19a90e613	526	2	75.0
a2b4c2a07105ff022b5ab23164d7f658	525	2	87.5
651560e315af6c36da00cc33da6ba248	525	1	87.5
a5376244b75c7e20f491c16a654e8c07	525	1	87.5
b834110020d138be96a3159bf6201829	525	1	87.5
cd9cda60c8d269ad18fc7e71706ee2bd	525	1	87.5
33caf68ce7d8a0950883743afd8a7cc6	525	1	87.5
89792977ed5a226d5712f9cc96ddaf9c	525	1	87.5
9ea002fff592cf8680b06a75e380e4ae	525	1	87.5
f6dc320e547eb9d2def765684b72a73b	525	1	87.5
24d79c446a729b4444eed0365248e3c2	525	1	87.5
080d77598477c35aea35a1e4030a8284	525	1	87.5
34bc5535cfe9c4b44578489a24adf30b	525	1	87.5
d93938562ea1cfdec849effa803732df	525	1	87.5
d7766b2c81aba264da48aec3ad084307	525	1	87.5
033d9d6b3effb51f06cc1eb2000264cd	525	1	87.5
465e49ef4e354b3463d483b765cabd52	525	1	87.5
9e73881686f22ac831a5b0933b6a5cd3	525	1	87.5
2a8883fa1dddce1f94a147acbba0a308	525	1	87.5
a15a93b0fe04d6997abd2c369a46c8c4	525	1	87.5
af97fa072f88035e732baed2a410cb3a	525	1	87.5
bdd6b34dc756370b2263c97d005212ff	525	1	87.5
177f1010fa301c469ca8fdfdc9417098	525	1	87.5
be5eab79f2bff8643476c3b43b64a9da	525	1	87.5
4c5ffc99645ff5b30f7dcb6eb1286482	502	1	87.5
f01d174cc8a00b5e021e068de5c0e445	501	1	93.75
6fd4a5317c88dfc5f5569310a4e6455c	501	1	93.75
2571042593bdde69a292f670f2277337	501	1	93.75
285f041e8e4d9dda5e245719529ae373	501	1	93.75
d781ffe072c4fa5f484b0415928983b9	501	1	93.75
62a0b30bd65a862ab67a264b858e1c24	501	1	93.75
5456288aeb7d32bf29a861074a51f9a8	501	1	93.75
bdc75d8612c9b2ab99b65e52cad58a7a	501	1	93.75
c109b082c48353d591e10bd18b607bc6	501	1	93.75
740d529bd68388ab9057ae71492bba2f	501	1	93.75
3c53cb729229c509873d568e736f2ba4	501	1	93.75
58b28f3e3627bbc0f78c81af085641a0	501	1	93.75
892016520876472f603b1e4c602eabfe	501	1	93.75
cb228d17cb46b52c5a4e3fb81f2776be	501	1	93.75
e784f97c3a0609c38264687c7eb2b4ab	501	1	93.75
1807515c5a5bdbeba2da48de695e1f8e	501	1	93.75
3ed95752560725b364b82c0ecd787951	501	1	93.75
54a098310ac8596e76c440cce7514e86	501	1	93.75
236c568e8093851e3cb8a80a5bfe10db	501	1	93.75
fdcc18b5e7a3dcb2030513d3b5febc40	501	1	93.75
acfb9c4562e10624e8b60e9803d284b5	501	1	93.75
bee488c232b9e70688f275fd661d63b9	480	1	93.75
97c8acdbb291b144edd7cde3727ba2de	480	1	93.75
300135f71722f82e7f5aab48ef683301	480	1	93.75
8b30501d4c325396a3f5fb431c7c1d4f	480	1	93.75
ca276c8e0fa115146b5d9b39a454a046	480	1	93.75
62af09efd17e534f5117886efac3fa77	480	1	93.75
b75b6691ae2a47642d2087dc3aebf676	480	1	93.75
55070ee6b6b35fcecfded82e75c8afee	480	1	93.75
2c7491c1c5399f5657da734aeda747fd	480	1	93.75
e9b89752bcc9612d386e7b6b56dd7b24	480	1	93.75
c9f15b3c7e7587363982fc1a10edc943	480	1	93.75
63aabdc97abe14d716f9375e7b7df28d	480	1	93.75
b3c92b0bb28cd7ab574b0ae49651d760	480	1	93.75
811ed97dab1d62ef58e12e549b308d6e	480	1	93.75
dc34d8e0ec9cdc2349db34037f014f78	480	1	93.75
3f26268bb10ce815de7713bae988ab9d	480	1	93.75
8dd3260f6c39a0bf64d8ada5a5a54b35	480	1	93.75
cd2966609c9291c531b4e668acbd986e	480	1	93.75
4912b618c4c9ddfe505de0424dcf0467	480	2	93.75
df692b08949cb540f043b309253af760	480	1	93.75
6fb3c8355a55f6d33e00a077ef45446e	480	1	93.75
97c70c4e6e7b66b7413404109a2ffa2c	480	1	93.75
a2939376f5331ea949801c62f99294c2	480	1	93.75
51635bd11c36daafd3e6e339cd473239	480	1	93.75
0cf2eff4cc3b5d43871208d5f3d35a07	480	1	93.75
34bb5c86df1fde4a946b75471fe018f8	480	1	93.75
01059109a4e42f53332b2a1dd2794e8f	480	1	93.75
022e1157b13dcf4ed73e2753b63a9d9c	480	1	93.75
5b455e1f785b5f7cb0c07254ddbcb140	480	1	93.75
4936817022f40aeb9352b59982951ac4	480	1	93.75
87417fdd613c1d6aa47ea4e506de5dd6	480	1	93.75
8ac1a98b373ddc384a7867637d1b88ff	480	1	93.75
7c857a9194bb5cbb3f3fd2837cd19a12	480	1	93.75
2fcef84943ced95bb61b67b0bc27f742	480	1	93.75
1111e8292682cb7a685de4e72ec5d9e6	480	1	93.75
f88f6a8ffcc47fa56283997a40543706	480	1	93.75
a8dd065b653f9eef86cc1be64e0c7cf2	480	1	93.75
3268155f65f23bde5b716f2c21075657	480	1	93.75
18e6d2b02b0ab7544e69555a13333a64	480	2	93.75
779affa0d6a9d427fa05180ec5edb55f	480	1	93.75
d0af8c367077a5ea0c04c59b219b608d	480	1	93.75
7cc1d3d4766af7acf2c9a81a5a14ab23	480	1	93.75
751c06eef501ed8b8f5eb2468d55ab35	480	1	93.75
a386bcbfa91682747a85d6f18bdad7be	480	1	93.75
974043be8b4305a4080b4898d82c1e3f	480	1	93.75
a8ed406b284aa3a2a814085f1772c1bc	480	1	93.75
cd75dc79c0db90c47f7583252b7033f6	480	1	93.75
0996d030732e0804a54ff323288d4b27	480	1	93.75
6b8cc61d8dd5776683a2a882ae885a01	480	1	93.75
4af85e146b3a4234e08e3ff5743e9fdf	480	1	93.75
17508c04af310448c59c381acf06d62d	480	1	93.75
ad41ff2fff6765559d70f56bcc92b77e	480	1	93.75
3c27d556516410756eab6a2294cf1a99	480	1	93.75
8129cbf36e65037e1d20d0a649c12556	480	1	93.75
f283f547f889b62b26faa21076a2d9ba	480	1	93.75
a2266b5dfacf2de67210c65cf1b8176d	480	1	93.75
e3f926fcdf26d7a25b67ef5382fb592d	480	1	93.75
5169334f945c40004506a91c5245d898	480	1	93.75
4424cb8928cd58eec711d1f00b17e7d3	480	1	93.75
3a37b9eb854a83305ccc034057348e65	480	1	93.75
ffb5ec3862a695c2fa5987a11057bc64	480	1	93.75
bd62d2fb152ce1e6e3184ae9fe2de6d0	480	1	93.75
4c9a7529116629904bf66a1a0618a351	480	1	93.75
